"","occurrence_data_csv.gbifID","species","lon","lat","CHELSA_bio1","CHELSA_bio4","CHELSA_bio12"
"123",5844106397,"Fagus sylvatica",-4.546322,42.837037,8.45000000000005,520.6,1073.2
"124",5844064718,"Cortaderia selloana",-4.755189,43.421994,14.95,328.2,1507.4
"125",5843997936,"Fagus sylvatica",-2.844067,41.999037,5.75000000000006,580.1,1087.8
"126",5843978801,"Fagus sylvatica",-4.553195,42.838703,7.45000000000005,518.7,1100.4
"127",5840981929,"Cortaderia selloana",-8.441977,43.358032,14.35,296.2,1203.1
"128",5840976362,"Fagus sylvatica",-2.830712,42.984024,11.05,462.3,1155.7
"129",5840958057,"Cortaderia selloana",-5.602829,43.546121,14.05,340.4,1100.7
"130",5840955315,"Cortaderia selloana",-8.452291,43.359269,14.2500000000001,297.8,1196.7
"131",5840951186,"Cortaderia selloana",-8.453998,43.36025,14.2500000000001,297.8,1196.7
"132",5840843313,"Fagus sylvatica",-1.542025,43.007137,9.55000000000001,499.1,2081.1
"133",5840754368,"Cortaderia selloana",-8.439468,43.362595,14.05,303.1,1212.7
"134",5840675402,"Cortaderia selloana",-8.441977,43.358032,14.35,296.2,1203.1
"135",5840641053,"Cortaderia selloana",-8.44149,43.362736,14.05,303.1,1212.7
"136",5840632432,"Cortaderia selloana",-8.441073,43.361732,14.05,303.1,1212.7
"137",5840558165,"Cortaderia selloana",-5.99073,43.471567,11.65,379.4,1355
"138",5840531161,"Cortaderia selloana",-5.994041,43.465742,11.85,375.9,1329
"139",5840528450,"Cortaderia selloana",-5.93189,43.421063,13.05,361.7,1115.9
"140",5840509703,"Fagus sylvatica",-4.464097,43.040508,7.55000000000001,467.7,1159.2
"141",5840505115,"Cortaderia selloana",2.564397,41.603928,15.2500000000001,512.6,729.6
"142",5840499057,"Fagus sylvatica",-1.303675,43.016681,8.65000000000003,500.8,1915.3
"143",5840492099,"Cortaderia selloana",2.55953,41.608385,14.7500000000001,517,754.7
"144",5840367866,"Fagus sylvatica",-0.032032,42.639286,6.45000000000005,615.3,1424.7
"145",5840359399,"Cortaderia selloana",1.156662,41.087854,16.65,541,558.2
"146",5840223908,"Cortaderia selloana",-5.994179,43.466159,11.85,375.9,1329
"147",5840208312,"Cortaderia selloana",-5.994129,43.466176,11.85,375.9,1329
"148",5840176087,"Fagus sylvatica",-4.429842,43.000544,7.75000000000006,477.5,1202.9
"149",5840165502,"Cortaderia selloana",-8.598722,42.808875,13.35,377,1711.5
"150",5840057230,"Cortaderia selloana",-5.994158,43.466095,11.85,375.9,1329
"151",5840051345,"Cortaderia selloana",-5.655193,40.959484,12.55,611.4,458.3
"152",5840035915,"Fagus sylvatica",-3.476205,41.095018,10.05,638.3,763.1
"153",5839986283,"Cortaderia selloana",-3.598953,40.414467,14.7500000000001,714.2,460.3
"154",5839946134,"Cortaderia selloana",-6.16528,36.341614,17.95,375,674.3
"155",5839909335,"Cortaderia selloana",-5.994041,43.465742,11.85,375.9,1329
"156",5839877950,"Fagus sylvatica",-4.89319,42.855125,7.25000000000006,541.9,1446
"157",5839876562,"Fagus sylvatica",-4.461288,43.041011,7.55000000000001,467.7,1159.2
"158",5839831179,"Cortaderia selloana",-5.918284,43.555715,14.2500000000001,328.4,1022.5
"159",5839817888,"Cortaderia selloana",-5.664235,43.510072,14.15,340.8,1106.2
"160",5839811742,"Cortaderia selloana",-8.784642,42.646468,14.65,361.7,1719.6
"161",5838346682,"Cortaderia selloana",-5.07622,43.430914,14.35,354.7,1521.6
"162",5838272851,"Fagus sylvatica",-3.496644,41.104096,9.65000000000003,635.3,796.5
"163",5838176851,"Cortaderia selloana",-8.715058,42.218029,14.55,334,1674
"164",5838047105,"Fagus sylvatica",-3.49911,41.102849,9.65000000000003,635.3,796.5
"165",5838024188,"Cortaderia selloana",-8.727837,42.217612,14.55,328,1699.8
"166",5837917347,"Cortaderia selloana",2.578497,41.598827,15.7500000000001,510.5,684.8
"167",5837767737,"Fagus sylvatica",-5.276192,43.057931,8.25000000000006,494.4,1604.6
"168",5837719072,"Fagus sylvatica",-0.776669,42.961609,5.55000000000001,526.4,2172.9
"169",5837689235,"Cortaderia selloana",-2.684993,43.401127,14.65,358.1,1243.4
"170",5837650805,"Cortaderia selloana",1.147486,41.079128,16.7500000000001,538.4,557.6
"171",5837648130,"Fagus sylvatica",2.176258,41.783933,11.45,592.4,868.2
"172",5832403360,"Fagus sylvatica",-2.083528,42.898012,11.85,499.6,1190.1
"173",5832307115,"Cortaderia selloana",-5.658163,43.525,14.15,340.4,1080.1
"174",5832296295,"Cortaderia selloana",-5.657305,43.523145,14.2500000000001,339.6,1093
"175",5832260979,"Fagus sylvatica",-0.776665,42.961601,5.55000000000001,526.4,2172.9
"176",5832194730,"Cortaderia selloana",-5.660647,43.548431,14.35,333.5,1046
"177",5831043053,"Fagus sylvatica",-3.495005,41.163975,7.95000000000005,624.5,902.3
"178",5831017830,"Cortaderia selloana",-2.907768,43.305271,14.35,369,1076.6
"179",5830973278,"Cortaderia selloana",-3.573888,36.73001,18.7500000000001,415.5,391
"180",5830962373,"Cortaderia selloana",-8.831796,42.457128,14.95,327.3,1839.5
"181",5830950293,"Cortaderia selloana",-6.410475,36.701172,18.45,445,557.2
"182",5830842365,"Cortaderia selloana",3.069775,42.300264,15.65,555.7,615.2
"183",5830792539,"Cortaderia selloana",2.500796,41.742154,13.7500000000001,570.7,972.9
"184",5830723328,"Fagus sylvatica",2.158868,41.808581,11.2500000000001,593.7,885
"185",5830723127,"Fagus sylvatica",-3.278055,41.226695,9.55000000000001,632.9,634.6
"186",5830718055,"Cortaderia selloana",-7.677337,43.783372,14.65,298.6,1310.6
"187",5830708029,"Fagus sylvatica",-2.65187,43.122292,12.55,428.7,1512.7
"188",5830676597,"Cortaderia selloana",2.863738,41.69962,16.15,539.6,645
"189",5830675883,"Fagus sylvatica",-3.309903,42.365558,9.95000000000005,521.6,881.4
"190",5830618347,"Fagus sylvatica",2.467615,42.021982,10.7500000000001,567.4,1212.8
"191",5830590918,"Cortaderia selloana",-1.648378,42.742595,12.65,554,848.4
"192",5830584903,"Cortaderia selloana",-2.770834,36.692934,18.65,403.8,304
"193",5830569946,"Cortaderia selloana",-6.409983,36.698487,18.45,441.6,556.6
"194",5830554765,"Cortaderia selloana",-2.59789,36.823227,18.7500000000001,468.8,307
"195",5830552275,"Cortaderia selloana",-0.166947,38.997019,18.05,500.9,755.4
"196",5830510701,"Cortaderia selloana",-3.122048,43.348652,14.55,364.2,1152.6
"197",5830492678,"Fagus sylvatica",-0.330572,42.82173,4.75000000000006,578.4,1886.8
"198",5830469826,"Cortaderia selloana",-6.409655,36.685265,18.45,438.1,556.4
"199",5830443975,"Cortaderia selloana",-3.574062,36.729829,18.7500000000001,415.5,391
"200",5830424731,"Cortaderia selloana",-3.574067,36.730579,18.7500000000001,415.5,391
"201",5830387893,"Cortaderia selloana",0.406396,40.375017,17.65,547.2,581.2
"202",5830309699,"Fagus sylvatica",-4.287586,43.118999,11.85,436.8,1081.4
"203",5830302096,"Cortaderia selloana",2.435819,41.623178,13.65,532.4,797.4
"204",5830301494,"Cortaderia selloana",-6.410518,36.6847,18.45,438.1,556.4
"205",5829168868,"Fagus sylvatica",-5.872347,43.360042,13.05,370.4,1090.6
"206",5828847744,"Fagus sylvatica",-0.075697,42.651189,8.15000000000003,610.9,1355.9
"207",5828839050,"Cortaderia selloana",-3.785,43.485,14.85,375.3,1475.3
"208",5828770581,"Cortaderia selloana",2.584197,41.592998,15.7500000000001,509.3,676.8
"209",5828687457,"Fagus sylvatica",-0.268901,42.721752,8.45000000000005,601.3,1436.7
"210",5828674118,"Fagus sylvatica",2.239938,42.124622,11.05,577.9,834.8
"211",5828670714,"Cortaderia selloana",-5.074602,43.465105,14.7500000000001,343.3,1412.9
"212",5828523362,"Cortaderia selloana",-5.620939,43.553449,14.2500000000001,334.5,1067
"213",5828392108,"Cortaderia selloana",-3.787483,43.474556,14.7500000000001,376.3,1492.5
"214",5828239546,"Cortaderia selloana",-6.411773,36.678326,18.45,435.7,555.3
"215",5828114693,"Cortaderia selloana",2.055303,41.287777,16.45,493.6,572.1
"216",5828107492,"Cortaderia selloana",1.201567,41.112274,16.7500000000001,547.4,549.5
"217",5828072027,"Cortaderia selloana",-6.808068,42.60949,13.05,526.3,1158.1
"218",5828038081,"Cortaderia selloana",-8.355116,43.107379,12.65,362.1,1544.9
"219",5828032690,"Cortaderia selloana",1.983456,41.273895,16.45,496.9,611.3
"220",5828019542,"Cortaderia selloana",2.506435,41.731982,14.65,571.1,875.6
"221",5828017307,"Fagus sylvatica",-0.074844,42.653435,7.45000000000005,613.6,1392.2
"222",5827989152,"Cortaderia selloana",2.374049,41.630556,14.95,552.3,663
"223",5827900507,"Cortaderia selloana",-6.411916,36.678402,18.45,435.7,555.3
"224",5827889607,"Cortaderia selloana",-4.259166,43.318918,13.7500000000001,372.4,1308.2
"225",5827845503,"Cortaderia selloana",-4.40568,43.397106,14.55,337.3,1301.7
"226",5827767128,"Fagus sylvatica",-2.888423,42.999097,12.45,452.2,1009.3
"227",5827714910,"Fagus sylvatica",-2.423033,42.778203,10.55,504.9,1091.9
"228",5827661681,"Cortaderia selloana",-2.63983,36.728672,18.7500000000001,414.2,274.6
"229",5827647407,"Cortaderia selloana",-6.369733,39.466334,15.95,638.9,634.3
"230",5827521113,"Fagus sylvatica",-5.639714,42.886756,9.65000000000003,517.3,1062
"231",5827513665,"Fagus sylvatica",-0.855306,42.886182,7.45000000000005,541.9,1930.5
"232",5827444421,"Cortaderia selloana",-3.284105,43.176022,11.45,426.8,1381.5
"233",5797299949,"Fagus sylvatica",0.2749,40.7526,10.95,591.7,839.2
"234",5797299787,"Fagus sylvatica",2.5238,42.1485,12.45,584.1,1062.5
"235",5797299412,"Fagus sylvatica",2.188,41.788,11.2500000000001,591.8,881.6
"236",5797086335,"Cortaderia selloana",-3.540558,36.724407,18.7500000000001,411.3,386.6
"237",5794829694,"Cortaderia selloana",-2.996735,43.317474,14.45,365.2,1046.5
"238",5762018739,"Fagus sylvatica",-4.970804,43.003957,8.45000000000005,512.7,1459.9
"239",5761191540,"Fagus sylvatica",2.48634,42.057224,9.75000000000006,559.8,1275
"240",5761187839,"Fagus sylvatica",-4.657122,43.274927,13.2500000000001,378.6,1666.7
"241",5761119740,"Cortaderia selloana",-3.378156,43.380841,14.15,386.8,1402.8
"242",5761082088,"Fagus sylvatica",-1.154889,42.98436,10.15,512.3,1721.4
"243",5761040847,"Fagus sylvatica",-2.124653,42.790059,11.45,522.2,1122.1
"244",5760952369,"Fagus sylvatica",1.280947,42.526069,8.75000000000006,633.4,948.3
"245",5760868804,"Fagus sylvatica",-3.010351,42.025295,8.75000000000006,581.5,1042.8
"246",5760841377,"Fagus sylvatica",-5.221408,43.290858,10.95,424.8,1585.2
"247",5760781798,"Fagus sylvatica",2.51538,41.9078,11.45,571,1149.9
"248",5760761192,"Fagus sylvatica",-2.829734,41.996836,6.85000000000002,581,1057.9
"249",5760746884,"Fagus sylvatica",-0.055787,42.648995,7.55000000000001,614.4,1377.3
"250",5760730420,"Fagus sylvatica",-3.502288,41.116968,9.15000000000003,631.2,858.2
"251",5760700571,"Cortaderia selloana",-3.877033,43.476422,14.95,374.3,1413.3
"252",5760664048,"Fagus sylvatica",-2.130869,40.548881,11.55,665.1,852.7
"253",5760614949,"Fagus sylvatica",0.071974,42.68211,7.45000000000005,613,1657.2
"254",5760543846,"Fagus sylvatica",-2.040119,42.806622,8.95000000000005,516.1,1351.7
"255",5760514619,"Fagus sylvatica",-0.705886,42.836282,8.25000000000006,559.8,2037.2
"256",5760498405,"Fagus sylvatica",-3.402886,41.222183,6.95000000000005,619.2,817.6
"257",5760455904,"Fagus sylvatica",-0.516104,42.751084,8.55000000000001,592.1,1940.2
"258",5760431042,"Fagus sylvatica",-4.657317,43.275436,13.2500000000001,378.6,1666.7
"259",5760421998,"Fagus sylvatica",2.204547,42.26621,6.45000000000005,575.3,1045.3
"260",5760380017,"Fagus sylvatica",0.078905,42.676235,8.35000000000002,616.4,1577.8
"261",5760373276,"Cortaderia selloana",-8.633377,42.42959,14.65,369.4,1899.2
"262",5760352526,"Fagus sylvatica",-0.843242,42.93845,8.85000000000002,529.7,2072.7
"263",5760321458,"Fagus sylvatica",-1.233447,42.888859,8.35000000000002,525.2,1628.6
"264",5760150616,"Cortaderia selloana",-7.379431,37.175734,18.35,457.1,545.3
"265",5760138571,"Cortaderia selloana",-2.799037,36.757362,18.7500000000001,432.7,327.1
"266",5760109903,"Fagus sylvatica",-3.006314,42.942153,10.15,469.1,1152.9
"267",5760040937,"Cortaderia selloana",-6.196291,43.426881,13.2500000000001,354.4,1170.5
"268",5759968454,"Fagus sylvatica",-7.104734,42.61,8.55000000000001,478.6,1529.4
"269",5759817674,"Fagus sylvatica",-4.989733,42.919025,8.15000000000003,529.5,1509
